7 BEAUTIFUL WOMAN		EMMA	 How now brown cow ... (pause) The rain in Spain falls mainly on the plain ... (pause) The quick brown fox jumped over the lazy --	VOICE (V.O.)	 (filtered) Password affirmative. Thank you, Doctor.	8 INSIDE PHONE BOX		Avengers, The 
EMMA	 How now brown cow ... (pause) The rain in Spain falls mainly on the plain ... (pause) The quick brown fox jumped over the lazy --	VOICE (V.O.)	 (filtered) Password affirmative. Thank you, Doctor.	8 INSIDE PHONE BOX				Avengers, The 
21      DOWN IN HIS VAULT		PETER	 (intercom cutting out) Losing control -- malfunction in thermal chamber -- for Christ's -- Emm --!					Avengers, The 
COUNTDOWN (V.O.)	 Five -- four --  three -- two -- one ... Three -- two -- one ... (repeating) Three -- two -- one ...	23      INSIDE COFFIN		24      IN HER COFFIN				Avengers, The 
PETER	 (faint) Emma ... Emma ...	34      ANGLE (IN EXTREME SLOW MOTION)		35      SERIES OF SHOTS				Avengers, The 
40      LONDON (1999)		ANNOUNCER (V.O.)	 (filtered) ... The War Office today approved military expenditure for the nation's new defense alert system. A spokesman  said he would raise the matter at the forthcoming World  Council of Ministers, but that a state of vigilance was still necessary in the uncertain climate.					Avengers, The 
STEED	 You didn't come to talk about the weather, surely.	MOTHER	 Oh yes I did. I want you to meet somebody. (off Steed's look) I expect you'll like her.	STEED	 'Her'?			Avengers, The 
EMMA	 (reads) 'Please answer the Telephone.'	WOMAN (V.O.)	 (filtered) Boodles Club, the Mall, 2:30 p.m. Mr. John Steed ... Boodles Club, the Mall, 2:30 p.m. Mr. John Steed ...	EMMA	 Kippers ...?			Avengers, The 
STEED	 Red herring would have been too obvious, don't you think?	EMMA	 (looks around) So what was all this -- some sort of test?	STEED	 Congratulations, you've penetrated a bastion of male privilege. I guessed you weren't a stickler for Tradition, doctor.	EMMA	 Whereas you are.	Avengers, The 
STEED	 I say, this is all terribly formal. Must I go an calling you Dr. Peel?	EMMA	 (re:  the steamroom) Under the circumstances, you may call me Mrs. Peel.	STEED	 Much better.	EMMA	 And now that we've settled the matter of honorifics, will you kindly explain why you wished me to meet you?	Avengers, The 
STEED	 Tea time -- four o'clock.  Mustn't be late. (beat) A word of warning. Don't take the macaroon. Mother's favorite.	RIVER THAMES WATER AUTHORITY	 No Admittance	52      LARGE WINDOW CURTAIN				Avengers, The 
EMMA	 Don't tell me: You're the shadow secret service. You're so hushhush, even the legit secret service knows nothing about it. Am I right?	MOTHER	 Close. We're so hush-hush, even we know nothing about it. (before Emma can make sense of this) Now let's see, there's coconut cake, date and walnut; I recommend the rum baba ...	EMMA	 Hmmm ...	MOTHER	 Looks like rain, Steed...	Avengers, The 
STEED	 ... Showers followed by sunny periods.	EMMA	 (looks up from trolley) We're not here to talk about the weather, surely.	MOTHER	 Oh, yes we are.	BRENDA	 (to Emma, cunning) Macaroon?	Avengers, The 
