2    CONTINUED:                                                  2		GOMEZ	 (gazing at Morticia) Look at her -- I would die for her. I would kill for her. Either way -- what bliss. Low-voiced, incisive, and subtle, with Morticia, smiles are rare. The ghostly whiteness of her complexion is offset by the red of the pillowcase upon which her hair is spread like a diabolic halo. A dark Garbo, sultry and remote, she's a ruined beauty. Morticia OPENS HER EYES.	GOMEZ	 (adoringly) Unhappy, darling?	MORTICIA	 (passionately) Oh, yes, yes. Completely.	 Addams Family
GOMEZ	 (adoringly) Unhappy, darling?	MORTICIA	 (passionately) Oh, yes, yes. Completely.					 Addams Family
MORTICIA		GOMEZ	 (wildly aroused) Tish... that's French!	MORTICIA	 (nonchalant) Oui.	GOMEZ		 Addams Family
GOMEZ	 (wildly aroused) Tish... that's French!	MORTICIA	 (nonchalant) Oui.	GOMEZ		GOMEZ		 Addams Family
GOMEZ	 (disturbed) Granny - where's your fog?	7   CONTINUED:                                                 7		FROM ABOVE				 Addams Family
WEDNESDAY	 (taking her bag) Thank you, Lurch.	9    CONTINUED:                                                 9						 Addams Family
GOMEZ	 (calls) Sorry about the window, Judge! Keep the ball! I have a whole bucketful. He holds up a bucket of golf balls. He tosses his golfclub to Thing, who DEPOSITS IT in the golfbag.	13    CONTINUED:                                                   13		MORTICIA				 Addams Family
GOMEZ		MORTICIA	 (yearningly) Oh Gomez, don't torture yourself. That's my job.	GOMEZ	 (lustfully) Tish...	MORTICIA		 Addams Family
MORTICIA	 (yearningly) Oh Gomez, don't torture yourself. That's my job.	GOMEZ	 (lustfully) Tish...	MORTICIA		GOMEZ		 Addams Family
MORTICIA	 (looking out) Tully is here, darling.	GOMEZ		113   CONTINUED:   (2)                                             113				 Addams Family
113   CONTINUED:   (2)                                             113		FESTER	 (coming to his senses) Mother, I'm... I'm so terribly sorry... (he kneels at her side) It was just a party. It's over. It means nothing. Those Siamese twins, that hunchback, Cousin It - they're not you.	ABIGAIL	 (clutching him savagely) Say it, Gordon. Make me believe it.	FESTER		 Addams Family
FESTER	 (coming to his senses) Mother, I'm... I'm so terribly sorry... (he kneels at her side) It was just a party. It's over. It means nothing. Those Siamese twins, that hunchback, Cousin It - they're not you.	ABIGAIL	 (clutching him savagely) Say it, Gordon. Make me believe it.	FESTER		ABIGAIL	 (very no-nonsense) We've got to find Tully.	 Addams Family
FESTER		ABIGAIL	 (very no-nonsense) We've got to find Tully.					 Addams Family
MORTICIA	 (whispering) Look - our little boy.	GOMEZ	 (whispering) All tuckered out.	MORTICIA	 (whispering) So sweet. He looks just... like a little entree. Pugsley wakes up; he looks around.	PUGSLEY	 (sleepy) Where... where's the party?	 Addams Family
GOMEZ	 (whispering) All tuckered out.	MORTICIA	 (whispering) So sweet. He looks just... like a little entree. Pugsley wakes up; he looks around.	PUGSLEY	 (sleepy) Where... where's the party?	114   CONTINUED:                                                   114		 Addams Family
MORTICIA	 (whispering) So sweet. He looks just... like a little entree. Pugsley wakes up; he looks around.	PUGSLEY	 (sleepy) Where... where's the party?	114   CONTINUED:                                                   114		MORTICIA		 Addams Family
GOMEZ		MORTICIA	 (worried) Her favorite...	GOMEZ	 (calls out) Fester!!	FESTER (O.S.)		 Addams Family
MORTICIA	 (worried) Her favorite...	GOMEZ	 (calls out) Fester!!	FESTER (O.S.)		GOMEZ		 Addams Family
GRANNY	 (calling out) Wednesday! Wednesday!	MORTICIA						 Addams Family
TULLY		GOMEZ	 (in disbelief) I am restrained - from my own house!?	TULLY		GOMEZ		 Addams Family
MORTICIA		TULLY	 (to Gomez) You're bitter rivals, Gomez - always were, always will be!	124   CONTINUED:                                             124		GOMEZ		 Addams Family
WEDNESDAY		GOMEZ	 (to his family) Do not fear - justic shall prevail. The courts will decide! (fervently) They say a man who represents himself has a fool for a client. Well, with God as my witness - I am that fool!					 Addams Family
126   CONTINUED:                                                  126		JUDGE WOMACK	 (He holds up a golf ball) I believe this is yours.					 Addams Family
WEDNESDAY		GOMEZ	 (in a monotone) They're very bad for you.	WEDNESDAY	 (very worried) Father? Wednesday exchanges a panic-stricken look with Morticia. The family moves closer to Gomez.	GOMEZ		 Addams Family
GOMEZ	 (in a monotone) They're very bad for you.	WEDNESDAY	 (very worried) Father? Wednesday exchanges a panic-stricken look with Morticia. The family moves closer to Gomez.	GOMEZ				 Addams Family
PUGSLEY		GOMEZ	 (out of it) We're Addamses... He burps -- soap bubbles floating from his mouth.					 Addams Family
MORTICIA		PERSONNEL OFFICER	 (knowingly) Liberal Arts. Have you been a volunteer, PTA, service organizations?	MORTICIA		138   CONTINUED:                                                  138		 Addams Family
138   CONTINUED:                                                  138		PERSONNEL OFFICER	 (perplexed) With your children?	MORTICIA		PERSONNEL OFFICER		 Addams Family
MORTICIA		PERSONNEL OFFICER	 (with some bitterness) Of course not. What is he - A loafer? A hopeless layabout? A shiftless dreamer?	MORTICIA	 (wistfully) Not anymore. The Personnel Officer shoots Morticia a doubtful glance, and begins rifling through her card file.			 Addams Family
PERSONNEL OFFICER	 (with some bitterness) Of course not. What is he - A loafer? A hopeless layabout? A shiftless dreamer?	MORTICIA	 (wistfully) Not anymore. The Personnel Officer shoots Morticia a doubtful glance, and begins rifling through her card file.					 Addams Family
ABIGAIL		FESTER	 (sadly) I don't know...	ABIGAIL	 (she snaps her fingers in the air, castanet- style, trying to be festive) Ariba! Ariba!	FESTER		 Addams Family
FESTER	 (sadly) I don't know...	ABIGAIL	 (she snaps her fingers in the air, castanet- style, trying to be festive) Ariba! Ariba!	FESTER				 Addams Family
GIRL SCOUT	 (with grave doubts) Is this made from real lemons?	WEDNESDAY		GIRL SCOUT				 Addams Family
ALEX TREBEK	 (reading from the card) Monsters Of History for $200. "He was known as the Butcher of Bavaria."	GOMEZ	 (shouts) Grandfather Addams! (smacks his forehead, hard) Damn! Not in the form of a question!					 Addams Family
ABIGAIL		FESTER	 (very flat) Yes, Mother.	ABIGAIL		FESTER		 Addams Family
GERALDO		GOMEZ	 (on the studio PA system) Geraldo...	GERALDO	 (cutting him off) Mr. Addams, please stop calling. We don't know where they meet.	GOMEZ		 Addams Family
GOMEZ	 (on the studio PA system) Geraldo...	GERALDO	 (cutting him off) Mr. Addams, please stop calling. We don't know where they meet.	GOMEZ		PUGSLEY		 Addams Family
MORTICIA		GOMEZ	 (not even turning) A drive? And miss "Matlock"? Granny opens the door and sticks her head in.	GRANNY		GRANNY (O.S.)		 Addams Family
ABIGAIL	 (very stern) What?	FESTER	 (dutifully) Yes, mother. It's beautiful.	ABIGAIL	 (instantly very sweet, dabbing her eye with a fingertip) Look - I'm weeping. Abigail exits. The minute the door shuts, Fester gets out of bed. He is fully clothed. He goes to the window, and begins to climb out.			 Addams Family
FESTER	 (dutifully) Yes, mother. It's beautiful.	ABIGAIL	 (instantly very sweet, dabbing her eye with a fingertip) Look - I'm weeping. Abigail exits. The minute the door shuts, Fester gets out of bed. He is fully clothed. He goes to the window, and begins to climb out.					 Addams Family
MORTICIA	 (to Abigail, graciously) You are a desperate woman, consumed by greed and infinite bitterness. (a beat) We could have been such friends.	ABIGAIL		MORTICIA	 (sweetly, to Abigail) Despite everything, I don't hate you. I pity you. Persecution, fiendish torture, inhuman depravity - sometimes it's just not enough.			 Addams Family
ABIGAIL		MORTICIA	 (sweetly, to Abigail) Despite everything, I don't hate you. I pity you. Persecution, fiendish torture, inhuman depravity - sometimes it's just not enough.	ABIGAIL		FESTER		 Addams Family
FESTER		ABIGAIL	 (pushing Fester aside) Tully, take over! Tighten it!	156   CONTINUED:   (2)                                         156		TULLY		 Addams Family
TULLY		ABIGAIL	 (shoving Tully toward the rack) Do it!	TULLY	 (to Morticia, politely) Where's your bathroom?	ABIGAIL		 Addams Family
ABIGAIL	 (shoving Tully toward the rack) Do it!	TULLY	 (to Morticia, politely) Where's your bathroom?	ABIGAIL		NOW!		 Addams Family
ABIGAIL		MORTICIA	 (to Tully, flirtatiously) You've done this before.					 Addams Family
159   CONTINUED:                                                  159		GOMEZ	 (whispers) Slow down, Thing! It's terrible when you stutter! Frustrated, Thing grabs a SPOON and begins tapping out	GOMEZ				 Addams Family
